"DisplayName","Enabled","Direction","Action","Protocol","Port"
"iSCSI Service (TCP-Out)","False","Outbound","Allow",,
"iSCSI Service (TCP-In)","False","Inbound","Allow",,
"iSCSI Service (TCP-Out)","False","Outbound","Allow",,
"Remote Service Management (RPC)","False","Inbound","Allow",,
"Remote Service Management (NP-In)","False","Inbound","Allow",,
"Remote Service Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Service Management (RPC)","False","Inbound","Allow",,
"Remote Service Management (NP-In)","False","Inbound","Allow",,
"Remote Service Management (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Device Management Device Enroller (TCP out)","True","Outbound","Allow",,
"Virtual Machine Monitoring (Echo Request - ICMPv4-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (Echo Request - ICMPv6-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (NB-Session-In)","False","Inbound","Allow",,
"Virtual Machine Monitoring (RPC)","False","Inbound","Allow",,
"Virtual Machine Monitoring (DCOM-In)","False","Inbound","Allow",,
"Proximity sharing over TCP (TCP sharing-In)","True","Inbound","Allow",,
"Proximity sharing over TCP (TCP sharing-Out)","True","Outbound","Allow",,
"Network Discovery (UPnP-In)","False","Inbound","Allow",,
"Network Discovery (UPnP-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Name-In)","False","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","False","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","False","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow",,
"Network Discovery (WSD Events-In)","False","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","False","Outbound","Allow",,
"Network Discovery (SSDP-In)","True","Inbound","Allow",,
"Network Discovery (SSDP-Out)","True","Outbound","Allow",,
"Network Discovery (UPnP-In)","True","Inbound","Allow",,
"Network Discovery (UPnP-Out)","True","Outbound","Allow",,
"Network Discovery (UPnPHost-Out)","True","Outbound","Allow",,
"Network Discovery (NB-Name-In)","True","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","True","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","True","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","True","Outbound","Allow",,
"Network Discovery (WSD-In)","True","Inbound","Allow",,
"Network Discovery (WSD-In)","True","Inbound","Allow",,
"Network Discovery (WSD-Out)","True","Outbound","Allow",,
"Network Discovery (LLMNR-UDP-In)","True","Inbound","Allow",,
"Network Discovery (LLMNR-UDP-Out)","True","Outbound","Allow",,
"Network Discovery (Pub-WSD-In)","True","Inbound","Allow",,
"Network Discovery (Pub WSD-Out)","True","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow",,
"Network Discovery (WSD Events-In)","True","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","True","Outbound","Allow",,
"Network Discovery (SSDP-In)","False","Inbound","Allow",,
"Network Discovery for Teredo (SSDP-In)","True","Inbound","Allow",,
"Network Discovery (SSDP-Out)","False","Outbound","Allow",,
"Network Discovery (UPnPHost-Out)","False","Outbound","Allow",,
"Network Discovery (UPnP-In)","False","Inbound","Allow",,
"Network Discovery for Teredo (UPnP-In)","True","Inbound","Allow",,
"Network Discovery (UPnP-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Name-In)","False","Inbound","Allow",,
"Network Discovery (NB-Name-Out)","False","Outbound","Allow",,
"Network Discovery (NB-Datagram-In)","False","Inbound","Allow",,
"Network Discovery (NB-Datagram-Out)","False","Outbound","Allow",,
"Network Discovery (WSD-In)","False","Inbound","Allow",,
"Network Discovery (WSD-In)","False","Inbound","Allow",,
"Network Discovery (WSD-Out)","False","Outbound","Allow",,
"Network Discovery (LLMNR-UDP-In)","False","Inbound","Allow",,
"Network Discovery (LLMNR-UDP-Out)","False","Outbound","Allow",,
"Network Discovery (Pub-WSD-In)","False","Inbound","Allow",,
"Network Discovery (Pub WSD-Out)","False","Outbound","Allow",,
"Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow",,
"Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow",,
"Network Discovery (WSD Events-In)","False","Inbound","Allow",,
"Network Discovery (WSD Events-Out)","False","Outbound","Allow",,
"Remote Event Monitor (RPC)","False","Inbound","Allow",,
"Remote Event Monitor (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow",,
"Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-In)","True","Inbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"mDNS (UDP-Out)","True","Outbound","Allow",,
"AllJoyn Router (TCP-In)","True","Inbound","Allow",,
"AllJoyn Router (TCP-Out)","True","Outbound","Allow",,
"AllJoyn Router (UDP-In)","True","Inbound","Allow",,
"AllJoyn Router (UDP-Out)","True","Outbound","Allow",,
"Windows Device Management Certificate Installer (TCP out)","True","Outbound","Allow",,
"Routing and Remote Access (GRE-In)","False","Inbound","Allow",,
"Routing and Remote Access (GRE-Out)","False","Outbound","Allow",,
"Routing and Remote Access (L2TP-In)","False","Inbound","Allow",,
"Routing and Remote Access (L2TP-Out)","False","Outbound","Allow",,
"Routing and Remote Access (PPTP-In)","False","Inbound","Allow",,
"Routing and Remote Access (PPTP-Out)","False","Outbound","Allow",,
"Netlogon Service (NP-In)","False","Inbound","Allow",,
"Netlogon Service Authz (RPC)","False","Inbound","Allow",,
"Wi-Fi Direct Network Discovery (In)","True","Inbound","Allow",,
"Wi-Fi Direct Network Discovery (Out)","True","Outbound","Allow",,
"Wi-Fi Direct Spooler Use (In)","True","Inbound","Allow",,
"Wi-Fi Direct Spooler Use (Out)","True","Outbound","Allow",,
"Wi-Fi Direct Scan Service Use (In)","True","Inbound","Allow",,
"Wi-Fi Direct Scan Service Use (Out)","True","Outbound","Allow",,
"TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow",,
"TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow",,
"TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow",,
"Remote Event Log Management (RPC)","False","Inbound","Allow",,
"Remote Event Log Management (NP-In)","False","Inbound","Allow",,
"Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Event Log Management (RPC)","False","Inbound","Allow",,
"Remote Event Log Management (NP-In)","False","Inbound","Allow",,
"Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow",,
"Wireless Display (TCP-In)","True","Inbound","Allow",,
"Wireless Display (TCP-Out)","True","Outbound","Allow",,
"Wireless Display (UDP-Out)","True","Outbound","Allow",,
"Wireless Display Infrastructure Back Channel (TCP-In)","True","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (TCP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (TCP-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (WSD-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (PNRP-Out)","False","Outbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (SSDP-In)","False","Inbound","Allow",,
"Windows Peer to Peer Collaboration Foundation (SSDP-Out)","False","Outbound","Allow",,
"Windows Device Management Enrollment Service (TCP out)","True","Outbound","Allow",,
"DIAL protocol server (HTTP-In)","True","Inbound","Allow",,
"DIAL protocol server (HTTP-In)","True","Inbound","Allow",,
"Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow",,
"Windows Management Instrumentation (ASync-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-In)","False","Inbound","Allow",,
"Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow",,
"Windows Management Instrumentation (ASync-In)","False","Inbound","Allow",,
"Windows Remote Management (HTTP-In)","False","Inbound","Allow",,
