"DisplayName","Enabled","Direction","Action","Protocol","Port"
"Microsoft Content","True","Outbound","Allow",,
"Windows Feature Experience Pack","True","Outbound","Allow",,
"Windows Feature Experience Pack","True","Inbound","Allow",,
"NcsiUwpApp","True","Outbound","Allow",,
"Xbox Game UI","True","Outbound","Allow",,
"Windows Security","True","Outbound","Allow",,
"Windows Security","True","Inbound","Allow",,
"Windows Shell Experience","True","Outbound","Allow",,
"Microsoft family features","True","Outbound","Allow",,
"Narrator","True","Outbound","Allow",,
"Windows Defender SmartScreen","True","Outbound","Allow",,
"Desktop App Web Viewer","True","Outbound","Allow",,
"Desktop App Web Viewer","True","Inbound","Allow",,
"Windows Default Lock Screen","True","Outbound","Allow",,
"Email and accounts","True","Outbound","Allow",,
"Microsoft Edge (mDNS-In)","True","Inbound","Allow",,
"Get Help","True","Outbound","Allow",,
"Microsoft Tips","True","Outbound","Allow",,
"Game Bar","True","Outbound","Allow",,
"Game Bar","True","Inbound","Allow",,
"App Installer","True","Outbound","Allow",,
"App Installer","True","Inbound","Allow",,
"Microsoft Store","True","Outbound","Allow",,
"Microsoft Store","True","Inbound","Allow",,
"Store Experience Host","True","Outbound","Allow",,
"Store Experience Host","True","Inbound","Allow",,
"Xbox Identity Provider","True","Outbound","Allow",,
"Mail and Calendar","True","Outbound","Allow",,
"Mail and Calendar","True","Inbound","Allow",,
"Skype","True","Outbound","Allow",,
"Skype","True","Inbound","Allow",,
"Windows Camera","True","Outbound","Allow",,
"Windows Camera","True","Inbound","Allow",,
"3D Viewer","True","Outbound","Allow",,
"MSN Weather","True","Outbound","Allow",,
"MSN Weather","True","Inbound","Allow",,
"Windows Maps","True","Outbound","Allow",,
"OneNote for Windows 10","True","Outbound","Allow",,
"OneNote for Windows 10","True","Inbound","Allow",,
"Windows Clock","True","Outbound","Allow",,
"Windows Clock","True","Inbound","Allow",,
"Movies & TV","True","Outbound","Allow",,
"Movies & TV","True","Inbound","Allow",,
"Windows Media Player","True","Outbound","Allow",,
"Windows Media Player","True","Inbound","Allow",,
"Feedback Hub","True","Outbound","Allow",,
"Feedback Hub","True","Inbound","Allow",,
"Solitaire & Casual Games","True","Outbound","Allow",,
"Solitaire & Casual Games","True","Inbound","Allow",,
"Microsoft 365 Copilot","True","Outbound","Allow",,
"Microsoft Office Outlook","True","Inbound","Allow",,
"Microsoft Office Groove","True","Inbound","Allow",,
"Microsoft Office Groove","True","Inbound","Allow",,
"Microsoft Office OneNote","True","Inbound","Allow",,
"Microsoft Office OneNote","True","Inbound","Allow",,
"WhatsApp","True","Outbound","Allow",,
"WhatsApp","True","Inbound","Allow",,
"Block SMB Inbound (445,139)","True","Inbound","Block",,
"Allow SMB From AdminPC","False","Inbound","Allow",,
"Block SMB Inbound Default","True","Inbound","Block",,
"Block RPC Dynamic Ports","True","Inbound","Block",,
"Google Chrome (mDNS-In)","True","Inbound","Allow",,
"Block-Telnet-Port-23","True","Inbound","Block",,
"Windows PowerShell","True","Inbound","Allow",,
"Windows PowerShell","True","Inbound","Allow",,
"Allow-SSH-port-22","False","Inbound","Allow",,
"Block-Telnet-Port-23","True","Inbound","Block",,
